entry_time,exit_time,direction,rzy_number,entry,stop,target,exit,exit_reason,r_multiple,pnl_usd
2024-01-07 16:00:00,2024-01-09 08:00:00,long,1,4524.37,4510.08,4550.51,4550.51,target,1.83,1302.95
2024-01-08 12:00:00,2024-01-09 08:00:00,long,2,4531.15,4520.78,4548.19,4548.19,target,1.64,847.93
2024-01-14 00:00:00,2024-01-14 12:00:00,long,1,4522.11,4510.16,4566.94,4510.16,stop,-1.0,-601.54
2024-01-25 08:00:00,2024-01-29 16:00:00,short,1,4441.37,4460.36,4381.49,4381.49,target,3.15,2990.11
2024-01-28 16:00:00,2024-01-29 16:00:00,short,2,4411.13,4422.64,4382.87,4382.87,target,2.46,1409.34
2024-02-02 00:00:00,2024-02-04 00:00:00,long,1,4431.77,4418.49,4456.6,4418.49,stop,-1.0,-667.58
2024-02-07 00:00:00,2024-02-07 04:00:00,short,1,4408.03,4421.84,4377.57,4421.84,stop,-1.0,-694.3
2024-02-16 08:00:00,2024-02-17 00:00:00,long,2,4420.68,4406.96,4459.31,4406.96,stop,-1.0,-690.07
2024-02-16 12:00:00,2024-02-16 20:00:00,long,1,4424.31,4410.89,4462.07,4410.89,stop,-1.0,-675.34
2024-02-20 12:00:00,2024-02-20 20:00:00,short,1,4393.59,4408.26,4350.22,4408.26,stop,-1.0,-737.63
2024-02-24 12:00:00,2024-02-24 16:00:00,long,1,4452.32,4439.42,4496.78,4439.42,stop,-1.0,-648.77
2024-02-26 08:00:00,2024-02-26 12:00:00,short,1,4434.99,4446.65,4409.53,4446.65,stop,-1.0,-586.92
2024-02-28 00:00:00,2024-03-02 16:00:00,long,1,4443.1,4422.67,4492.72,4492.72,target,2.43,2476.88
2024-03-13 16:00:00,2024-03-13 20:00:00,short,1,4398.66,4409.22,4378.3,4409.22,stop,-1.0,-532.15
2024-03-18 16:00:00,2024-03-19 08:00:00,short,1,4414.78,4430.2,4375.1,4430.2,stop,-1.0,-775.0
2024-03-19 04:00:00,2024-03-19 08:00:00,short,2,4418.34,4429.61,4375.59,4429.61,stop,-1.0,-567.95
2024-03-24 20:00:00,2024-03-26 04:00:00,short,1,4412.73,4427.32,4369.78,4427.32,stop,-1.0,-733.46
2024-03-27 00:00:00,2024-03-28 00:00:00,long,1,4435.22,4422.67,4470.13,4470.13,target,2.78,1741.8
2024-04-03 08:00:00,2024-04-08 12:00:00,short,1,4422.47,4432.43,4363.92,4363.92,target,5.88,5850.99
2024-04-06 16:00:00,2024-04-06 20:00:00,short,1,4388.56,4404.2,4357.17,4404.2,stop,-1.0,-786.03
2024-04-15 08:00:00,2024-04-15 16:00:00,short,2,4334.37,4347.11,4301.46,4347.11,stop,-1.0,-641.12
2024-04-15 16:00:00,2024-04-17 16:00:00,short,1,4356.53,4370.14,4309.14,4370.14,stop,-1.0,-684.61
2024-04-23 16:00:00,2024-04-24 00:00:00,long,1,4340.81,4332.18,4365.14,4332.18,stop,-1.0,-866.92
2024-06-11 20:00:00,2024-06-12 00:00:00,short,1,4210.83,4220.42,4185.56,4220.42,stop,-1.0,-962.61
2024-07-07 12:00:00,2024-07-08 08:00:00,short,1,4277.33,4299.97,4240.48,4299.97,stop,-1.0,-1136.02
